name,date_of_birth,company_id,last_active,score,joined_league,us_state
Matthew Barnes,1989-04-23,17,2018-10-20,48,1982,California
Paula Andrade,1990-02-12,20,2018-10-22,49,1986,Michigan
Shannon Charles,1997-02-27,1,2018-04-07,87,1974,Tennessee
Raymond Wu,1984-06-01,1,2018-05-11,30,1978,Maine
Stephanie Evans,1995-11-09,18,2018-04-02,88,1986,North Carolina
Kathryn Armstrong,1978-03-08,15,2018-11-15,45,1972,Indiana
Brandon Frank,1986-02-08,15,2018-08-12,98,1971,Illinois
Harold Jackson,1990-05-16,4,2018-02-07,97,1983,Missouri
Ariel Dunn,1987-06-13,7,2018-10-09,76,1972,Oklahoma
Jessica Jimenez,1994-06-15,8,2018-02-03,32,1978,Arizona
Belinda Rogers,1996-06-12,2,2018-06-01,82,1975,Oklahoma
Hunter Walker,1979-05-14,14,2018-02-05,70,1974,New York
David Williams,1984-04-03,9,2018-04-23,79,1982,Connecticut
Joseph Chavez,1984-02-01,12,2018-01-18,34,1972,South Carolina
Lucas Bailey,1997-03-20,7,2018-02-02,91,1992,South Carolina
Debra Sullivan,1982-04-24,9,2018-10-07,92,1974,Maryland
Robin Smith,1991-06-22,15,2018-05-02,35,1979,New York
Brandon Lee,1984-10-13,11,2018-02-23,96,1983,Alabama
Scott Murray,1972-02-08,20,2018-11-18,55,1983,Oklahoma
Austin Griffin,1998-06-10,11,2018-08-25,91,1994,Missouri
Dawn Johnson,1997-02-14,2,2018-09-04,53,1982,Idaho
Crystal Logan,1974-02-24,20,2018-05-10,98,1988,North Carolina
Justin Conway,1983-09-10,17,2018-03-08,61,1973,New Hampshire
Robert Carey,1995-07-30,16,2018-12-20,84,1991,Illinois
Brandon Wagner,1991-04-07,1,2019-01-05,92,1972,West Virginia
Shane Livingston,1992-08-06,1,2018-11-27,31,1991,Alabama
Michael Russell,1979-03-23,1,2018-12-29,97,1977,Montana
Travis Gomez,1985-09-23,5,2018-05-07,92,1972,Oklahoma
Linda Taylor,1986-02-22,16,2018-05-05,48,1985,Ohio
Whitney Marshall,1992-03-10,11,2018-12-12,41,1975,Louisiana
Elizabeth Fisher,1995-01-26,16,2018-06-04,32,1979,Kansas
Shane Washington,1989-10-24,8,2018-09-12,89,1988,Georgia
Roy Davis,1986-01-11,4,2018-05-20,37,1980,Nevada
Donna Cuevas,1987-12-08,20,2018-02-06,76,2006,Washington
Benjamin Sullivan,1997-03-17,3,2018-06-22,36,1972,Hawaii
Richard Cox,1995-09-25,0,2018-02-23,59,1984,California
Vanessa Hill,1995-09-05,14,2018-11-10,78,1979,Massachusetts
Sarah Case,1996-08-30,2,2019-01-04,70,1989,Virginia
Sarah Moody,1997-12-22,12,2018-12-17,34,1988,Michigan
Kathleen Larson,1997-11-12,16,2018-05-27,91,1978,Ohio
Amy Russell,1997-01-06,0,2018-11-17,46,1983,Washington
Johnny Thomas,1967-04-05,20,2018-05-20,64,1972,Rhode Island
Laura Allison,1992-07-28,0,2018-04-13,39,1985,Nebraska
Jessica Jefferson,1996-05-18,1,2018-06-27,94,1983,Nevada
Linda Erickson,1990-11-19,15,2018-04-11,36,1974,Delaware
Jennifer Holmes,1995-06-07,9,2018-01-14,46,1990,Washington
Anthony Orozco,1983-05-28,20,2018-11-02,38,1986,New York
Carla Mosley,1978-04-06,18,2018-04-10,71,1973,Wisconsin
Adam Torres,1982-11-08,20,2018-11-30,51,1994,Delaware
Michael Flores,1984-07-21,16,2018-10-05,33,1974,California
Frank Larsen,1998-01-02,6,2018-05-16,39,1994,Florida
Dr. James Smith,1982-05-26,12,2018-10-22,71,1974,Rhode Island
Rebecca Larson,1996-10-09,17,2018-05-31,95,1981,Alabama
Tara Wade,1982-01-09,20,2018-05-25,97,2011,Illinois
Melissa Hodge,1982-07-07,7,2018-04-07,96,1970,Delaware
Sara Johnson,1998-01-17,3,2018-11-30,76,1989,Arizona
Timothy Reed,1996-06-25,12,2018-08-13,67,1974,Washington
Deborah Campbell,1995-10-28,0,2018-04-14,42,1994,Kansas
Raymond Lewis,1987-01-19,3,2018-11-01,30,1981,Minnesota
Heather Holder,1988-02-14,4,2018-04-30,33,1976,Illinois
Brady Turner,1979-10-03,20,2018-07-28,31,1997,Wyoming
Karen Barrett,1996-06-29,10,2019-01-06,70,1980,New Hampshire
Susan Dickerson,1996-05-14,19,2018-03-15,31,1991,Arkansas
David Williams,1985-06-06,20,2018-05-27,87,1993,Illinois
Antonio Hernandez,1960-02-14,20,2019-01-05,72,2005,Utah
Julian Jackson,1994-01-06,6,2018-05-14,30,1993,Alaska
Anthony Blackburn,1986-10-18,6,2018-08-02,47,1973,Indiana
Michael Escobar,1981-04-26,20,2018-04-09,88,2001,Indiana
Jimmy Harris,1976-03-23,2,2018-11-28,71,1972,Connecticut
Melinda Obrien,1997-04-05,9,2018-02-14,41,1972,Iowa
Victoria Rojas,1997-08-31,17,2018-11-07,42,1992,South Dakota
Andrew Oneal,1977-09-27,6,2018-01-19,39,1972,Wyoming
Ashley Turner,1967-04-11,20,2018-12-03,61,1973,South Dakota
Matthew Oconnor,1988-09-05,14,2018-09-17,67,1977,New Mexico
Peter Moreno,1997-07-04,20,2018-10-04,54,1976,Alaska
Timothy Greene,1995-06-20,15,2018-04-19,50,1987,Connecticut
Barbara Snyder,1979-12-19,20,2018-06-11,56,1971,Arkansas
Linda Golden,1960-04-13,20,2018-12-15,57,1993,Maryland
Vernon Patel,1988-05-07,12,2018-07-18,93,1982,North Dakota
Terry Williams,1982-05-02,16,2018-06-30,93,1973,Utah
Joseph Lopez,1985-04-16,4,2018-07-21,77,1983,Arizona
Timothy Cruz,1990-11-09,9,2018-07-30,65,1989,Ohio
Sarah Davis,1996-07-25,19,2018-05-28,46,1976,New Hampshire
Rebecca Brown,1991-01-06,7,2019-01-08,31,1976,Texas
Dalton Jones,1996-11-29,3,2018-01-12,88,1991,Vermont
Matthew Atkinson,1990-05-31,8,2018-05-20,96,1982,Virginia
Jennifer Peterson,1993-06-06,14,2018-04-12,33,1987,Kentucky
Mark Hoffman,1996-11-22,13,2018-05-27,74,1973,Alabama
Heather Rogers,1979-07-13,3,2018-02-20,31,1975,Alabama
Danielle Rodriguez,1995-03-01,13,2018-10-14,66,1983,Louisiana
Kim Barnett,1984-10-11,18,2018-09-07,98,1982,Mississippi
Mary Foster,1994-07-24,8,2018-12-01,98,1991,Pennsylvania
Keith Rodriguez,1989-02-08,6,2018-11-01,77,1982,Oklahoma
Amy Thomas,1990-01-19,12,2018-10-03,53,1973,New York
Joshua Reilly,1997-04-22,15,2018-06-01,42,1971,North Carolina
William Henderson,1982-03-15,0,2018-11-13,87,1972,Iowa
Suzanne Gonzalez,1995-02-15,1,2018-09-11,67,1994,Montana
Gregory Hall,1988-07-18,16,2018-06-27,34,1973,Georgia
Shawn Chavez,1985-04-20,20,2018-12-27,47,1987,North Carolina
Anna Rodriguez,1974-02-10,2,2018-10-16,43,1973,Kentucky
Todd Hatfield,1971-04-30,20,2018-10-30,63,2006,Michigan
Michael Fisher,1965-05-03,20,2018-03-13,78,1991,Maryland
Steven Carey,1998-07-15,13,2018-06-13,75,1974,Oregon
Carol Gonzales,1990-01-06,8,2018-05-09,94,1972,Colorado
Timothy Gillespie,1998-01-29,12,2018-04-15,39,1980,Virginia
Theresa Stewart,1996-09-07,14,2018-06-20,76,1970,Montana
Adam Martin,1970-11-02,20,2018-02-23,63,1975,Kentucky
John Lara,1990-11-27,20,2018-09-21,88,1981,Colorado
Austin Jackson,1978-03-31,14,2018-11-16,87,1973,Nevada
Leslie Miller,1997-10-08,8,2018-03-11,78,1982,Connecticut
Savannah Holmes,1969-02-19,20,2018-12-19,51,1970,Utah
Phyllis Roberts,1988-05-20,6,2018-10-23,31,1983,Pennsylvania
Philip Pearson,1984-11-14,0,2018-08-14,90,1976,North Carolina
Jason Palmer,1985-03-24,14,2018-03-26,64,1981,Oklahoma
Jeff Montgomery,1989-05-23,1,2018-06-23,34,1978,South Dakota
Nathan Andrews,1994-02-23,20,2018-09-06,82,1991,New York
Jeffery Sanders,1989-09-25,8,2018-10-20,44,1975,Ohio
Cory Huff,1991-02-12,0,2018-12-08,44,1981,Nebraska
Laura Baldwin,1993-03-16,15,2018-12-30,74,1982,Indiana
Michael Clark,1964-01-16,20,2018-11-15,88,2008,Louisiana
Jason Gallagher,1980-01-26,10,2018-03-30,89,1973,Texas
Diana Ward,1982-08-13,8,2018-09-07,87,1973,Nebraska
Elizabeth Lang,1976-01-05,17,2018-07-07,93,1975,Louisiana
Tiffany Robinson,1976-08-27,1,2018-01-18,55,1973,Indiana
Clayton Charles,1989-12-12,17,2018-08-08,45,1982,Virginia
Kevin Ramirez,1988-09-01,12,2018-12-12,92,1973,Nevada
Jennifer Sheppard,1985-10-28,6,2018-10-14,97,1972,Illinois
Jorge Sullivan,1979-05-22,14,2018-05-29,45,1970,Wisconsin
Sharon Leon,1996-06-13,8,2018-12-18,79,1970,Pennsylvania
Karen Mooney,1987-12-14,20,2018-01-24,34,1999,Arizona
Rhonda Adams,1988-04-17,2,2018-01-30,39,1978,West Virginia
Dawn Mercado,1984-12-04,18,2018-08-10,71,1974,Minnesota
Jason Carroll,1997-01-01,11,2018-07-23,56,1985,South Carolina
Jenna Nichols,1991-02-21,16,2018-07-20,70,1972,Pennsylvania
Jim Diaz,1991-04-06,19,2018-09-23,74,1982,Georgia
Curtis Lucas,1986-12-28,6,2018-12-26,47,1983,Mississippi
Kenneth Duncan,1998-11-23,4,2018-07-10,48,1997,New Mexico
Bonnie Phillips,1989-08-31,9,2018-10-24,47,1981,Delaware
Eric Richards,1977-08-04,1,2018-09-21,78,1970,North Dakota
Taylor Wallace,1996-09-02,0,2018-11-28,56,1995,Montana
Lawrence Martin,1989-06-04,12,2018-07-26,69,1974,New Hampshire
Angela Kelley,1995-08-30,0,2018-05-08,63,1990,Maryland
Sue Yoder,1996-11-05,19,2018-12-29,64,1983,New Jersey
Katherine Townsend,1984-03-23,2,2018-01-24,36,1982,Wyoming
Douglas Mclaughlin,1977-06-24,0,2018-05-26,93,1971,Colorado
Carla Browning,1994-05-07,7,2018-10-13,31,1980,Wisconsin
Teresa Ramirez,1984-01-08,15,2018-10-13,55,1973,Washington
Chloe Ramirez,1994-04-15,1,2018-12-18,91,1973,North Carolina
Ashley Richardson,1989-01-26,20,2018-12-22,76,2006,West Virginia
James Trevino,1980-12-15,3,2018-09-01,46,1979,North Dakota
Daniel Farmer,1995-02-28,17,2018-08-17,65,1976,Alaska
Samantha Miles,1994-06-30,5,2018-10-09,79,1992,Pennsylvania
Natasha Smith,1997-05-27,11,2018-09-13,39,1983,Illinois
Michelle Gomez,1982-12-31,4,2018-05-29,75,1981,Hawaii
Lisa Randall,1992-03-03,8,2018-03-03,38,1971,New Mexico
Kimberly Navarro,1998-07-23,1,2018-05-02,71,1985,Ohio
Lindsay Byrd,1998-07-03,18,2018-11-28,59,1992,New Hampshire
April Mullen,1981-02-19,18,2018-03-31,63,1979,Missouri
Frank Harris,1988-09-16,2,2018-01-28,97,1975,New Jersey
Tyrone Gray,1979-04-10,9,2018-05-25,47,1977,Florida
Taylor Mullins,1987-11-26,0,2018-09-24,39,1985,North Carolina
Raymond Davis,1997-10-01,20,2018-12-14,97,2010,Virginia
Kimberly Adkins,1983-08-23,11,2018-02-01,74,1979,Missouri
Julie Day,1991-11-04,7,2018-06-18,31,1977,Colorado
Jessica Bell MD,1987-11-25,0,2018-10-13,47,1978,Minnesota
Brandon Ross,1990-12-15,0,2018-03-22,66,1978,Vermont
Deborah Stein,1993-07-25,19,2018-07-21,82,1983,Montana
Christopher Reed,1971-11-11,20,2018-05-14,85,1999,Pennsylvania
Jason Smith,1978-10-12,13,2018-02-24,72,1975,Mississippi
Donna Miller,1996-09-24,1,2018-05-17,64,1989,Alaska
Mrs. Nicole White,1982-01-07,10,2018-07-09,78,1978,Washington
Karen Grant,1973-07-09,18,2018-07-25,48,1971,Nevada
Christopher Jones,1965-02-22,20,2018-06-15,55,1976,Iowa
Michael Wilson,1977-07-02,10,2018-11-13,96,1972,Virginia
Jordan Perry,1975-01-04,10,2018-09-14,51,1974,Oregon
Matthew Jones,1995-01-12,2,2018-11-25,81,1985,Hawaii
Lisa Michael,1988-04-18,11,2018-11-23,31,1982,Wisconsin
Crystal Moore,1993-07-02,16,2018-08-03,44,1992,North Carolina
Kimberly Wiley,1994-10-04,2,2018-08-29,56,1988,Hawaii
Melanie Landry,1991-01-11,15,2018-06-15,31,1989,Nevada
Alexander Webb,1991-11-07,6,2018-10-27,32,1970,Kansas
Nathan Sandoval,1991-11-20,9,2018-08-14,42,1976,Connecticut
Emily Alvarado,1979-11-21,6,2018-10-07,56,1970,New York
Robert Edwards,1959-11-10,20,2018-06-28,84,1991,Wyoming
Cynthia Johnson,1990-03-22,13,2018-10-12,60,1981,Arizona
Bryan Walker,1993-09-25,20,2018-07-23,87,1982,Minnesota
Allen Bell,1994-07-08,5,2018-05-09,46,1974,Utah
Cathy Wallace,1997-01-11,0,2018-11-20,66,1973,New Hampshire
Danielle Hicks,1973-05-06,20,2018-03-29,85,1993,Georgia
Jordan Hernandez,1998-03-28,1,2018-06-19,94,1977,Connecticut
Daniel Young,1995-08-26,5,2018-08-22,93,1971,Alabama
Megan Sullivan,1986-03-10,2,2018-07-14,87,1983,Oklahoma
Erin Mann,1979-11-12,20,2018-04-03,37,1973,New Hampshire
Caitlin Smith,1993-04-18,9,2018-09-07,40,1979,Missouri
George Thomas,1996-12-15,12,2018-04-28,71,1993,Illinois
Christian Kelly,1983-06-01,8,2018-04-20,90,1979,Arizona
David Barker,1981-11-23,4,2018-01-11,99,1972,Wyoming
Joseph Beltran DDS,1995-04-21,14,2018-09-22,86,1976,New Jersey
Michael Thomas,1993-08-18,14,2018-02-18,30,1979,Wisconsin
Marvin Ward,1986-02-03,15,2018-12-15,40,1976,Maryland
Michael Hopkins,1997-03-29,14,2018-08-28,85,1991,Nebraska
Calvin Kent,1984-12-04,20,2018-04-07,59,1991,Idaho
Monica Cuevas,1994-03-26,11,2018-10-25,40,1972,Michigan
Lisa Wallace,1997-04-02,15,2018-12-02,64,1994,South Carolina
William Martin,1991-07-02,13,2018-05-22,80,1986,Maine
Susan Palmer,1977-04-23,20,2018-04-04,93,2011,Massachusetts
Daniel Johnson,1995-03-06,7,2018-10-03,66,1973,Wyoming
Richard Clarke,1976-05-17,16,2018-12-30,68,1972,Alaska
Mrs. Cassandra Scott MD,1990-07-01,8,2018-04-03,45,1972,South Carolina
Mark Nelson,1981-07-09,18,2018-12-03,33,1979,Indiana
George Lewis,1995-03-18,20,2018-02-26,57,2001,Washington
Michael Price,1992-07-17,0,2018-11-29,94,1983,Oklahoma
Robin Moses,1982-03-12,5,2018-11-03,61,1981,Florida
Yvette Higgins,1985-12-20,12,2018-07-25,88,1974,Indiana
Dana Thompson,1988-01-22,10,2018-12-12,84,1980,Nevada
Brittany Olsen,1995-05-27,17,2018-10-15,55,1971,Nevada
Jonathan Thomas,1984-12-07,19,2018-12-01,45,1978,Oregon
Rachel Smith,1982-06-14,0,2018-12-09,35,1976,Missouri
James Thompson,1992-07-22,4,2018-01-22,57,1970,Vermont
Michael Gates,1967-09-27,20,2018-02-18,42,1989,Arkansas
John Rose,1967-02-02,20,2018-12-28,71,2014,Hawaii
Lance Watson,1977-03-30,17,2018-06-11,30,1976,Wyoming
Pamela Brown,1989-07-16,10,2018-05-07,55,1970,California
Brent Shepard,1996-06-06,7,2018-04-01,91,1986,Delaware
Jeffrey Baldwin,1982-12-28,20,2018-11-09,95,2009,Alabama
Rachel Lee,1991-01-21,5,2018-04-07,54,1977,Oregon
Ashley Garcia,1991-08-08,4,2018-02-02,39,1990,Oregon
Eric Elliott,1991-06-12,2,2018-12-08,47,1982,Missouri
Christian Booth,1995-07-29,13,2018-03-27,74,1992,Oregon
Kimberly Martin,1997-11-25,16,2018-10-16,80,1994,New York
David Parker,1997-06-26,3,2018-04-03,70,1983,Maine
Grace Solis,1996-06-24,19,2018-12-01,67,1995,Illinois
Lindsay Ford,1984-10-18,6,2018-10-24,92,1978,North Carolina
Daniel Smith,1969-08-27,20,2018-08-09,75,2015,New Jersey
William Dunn,1994-12-29,12,2018-10-10,48,1976,Florida
Joseph Gonzalez,1986-11-07,6,2018-10-29,84,1972,North Dakota
Kimberly Dixon,1973-01-30,20,2018-04-26,50,2006,California
Shannon Brennan,1993-01-08,6,2018-09-28,56,1980,Colorado
Sheila Henderson,1992-09-06,18,2018-07-29,47,1982,Alabama
Charles Mays,1975-08-07,7,2018-07-27,30,1973,Oregon
Benjamin Smith,1997-01-22,1,2018-01-23,78,1991,New Mexico
Johnny Brown,1985-06-29,19,2018-05-31,47,1972,West Virginia
Amanda Wallace,1998-09-14,20,2018-06-21,77,1987,Maryland
Carlos Shaw,1993-06-21,5,2018-02-19,99,1982,Indiana
Michael Wolf,1988-05-24,11,2018-07-21,90,1981,South Carolina
Adam Ford,1989-11-06,4,2018-02-19,60,1978,Kentucky
Melissa Spencer,1960-04-09,20,2018-04-13,78,2007,Illinois
John Myers,1989-02-10,20,2018-02-25,72,2001,Hawaii
Robert Todd,1981-11-28,13,2018-09-23,56,1980,North Carolina
Kayla Parker,1985-06-15,2,2018-08-29,64,1979,Oklahoma
Paul Escobar,1994-01-01,10,2018-08-21,99,1982,Virginia
Juan Fox,1991-02-17,16,2018-06-10,30,1971,North Carolina
Martha Chase,1996-03-06,17,2018-06-08,55,1979,North Dakota
Alicia Compton,1987-04-21,20,2019-01-09,36,1989,Hawaii
Christopher Turner,1981-07-08,18,2018-03-01,95,1972,New Jersey
Tara Davis,1996-09-10,20,2018-12-25,93,1990,Nevada
Crystal Schmidt MD,1980-11-20,10,2018-10-17,71,1973,Michigan
Tiffany Newman,1960-07-02,20,2018-03-23,71,1980,Nebraska
Randall Callahan,1998-10-25,8,2018-09-08,60,1978,Hawaii
Alec Hopkins,1980-09-11,8,2018-08-22,84,1976,Oregon
Bryan Perez,1987-01-28,5,2018-12-09,86,1978,Oklahoma
Jesse Shah,1998-08-17,6,2018-10-09,90,1971,Massachusetts
Tamara Foster,1995-12-13,12,2018-10-02,71,1979,North Carolina
Francisco Lopez,1996-09-27,7,2018-11-05,74,1987,Indiana
Christopher Vasquez,1980-08-22,20,2018-02-04,73,2003,Iowa
Tamara Nelson,1988-07-27,2,2018-03-01,66,1973,Tennessee
Daniel Johnson,1983-08-21,12,2018-06-23,49,1980,North Dakota
Alyssa Evans,1995-05-19,5,2018-09-21,49,1983,Minnesota
Hannah Velazquez,1981-05-12,10,2018-12-20,41,1974,Montana
Hannah Palmer,1995-02-14,5,2018-09-02,97,1988,Ohio
Roger Murray,1969-10-30,20,2018-03-29,38,2010,South Dakota
Charles White,1982-08-01,16,2018-06-15,72,1981,Michigan
Kurt Snow,1986-06-27,6,2018-01-18,37,1978,Rhode Island
Jasmine Martinez,1986-05-18,3,2018-10-24,30,1980,Rhode Island
Mrs. Carla Johnson,1990-01-26,14,2018-01-23,39,1980,Arizona
Madison Smith,1994-10-24,17,2018-03-20,38,1978,Oklahoma
Joshua Miller,1959-09-26,20,2018-07-24,30,2009,Colorado
Amanda Shaw,1988-07-18,4,2019-01-02,94,1984,Arizona
Samantha Hunter,1995-10-31,4,2018-02-23,37,1973,Kansas
Jamie Salinas,1973-09-10,5,2018-01-26,55,1972,California
Mary Alvarez,1989-01-29,20,2018-06-14,57,2005,Maine
Andrea Warren,1973-08-10,5,2018-05-13,64,1972,Alabama
Shane Lane,1991-05-05,11,2018-09-14,34,1980,New Mexico
Sheila Rios,1998-03-17,17,2018-10-29,66,1996,Oklahoma
Manuel Dudley,1996-11-24,12,2018-05-21,42,1985,California
April Kennedy PhD,1989-07-04,4,2018-02-07,52,1976,Massachusetts
Deborah Ross,1974-12-18,20,2018-04-02,84,1982,Arizona
Adam Johnson,1986-01-15,17,2018-10-29,80,1971,Vermont
Daniel Garcia,1995-07-13,11,2018-05-09,52,1976,Alabama
Kevin Brooks,1994-03-23,15,2018-12-30,86,1989,North Carolina
Robin Livingston,1989-10-31,10,2018-06-06,73,1978,Arkansas
Rebecca Love,1984-01-28,9,2018-04-06,95,1972,Pennsylvania
Brenda Anderson,1992-12-22,14,2018-05-21,66,1987,Vermont
Dr. Tammy Rose,1995-11-14,20,2018-01-22,53,2012,Oregon
Robert Bartlett,1978-05-05,9,2018-06-22,84,1973,New York
Sharon Potter,1981-10-05,1,2018-09-21,36,1980,Vermont
Alexandra Porter,1985-07-23,15,2018-07-17,56,1984,Iowa
Michael Hendrix,1978-12-04,4,2018-04-20,68,1974,Iowa
Jessica Schmidt,1996-03-04,20,2018-03-09,30,1970,Hawaii
Richard Jones,1982-01-03,3,2018-12-21,67,1981,North Dakota
Lance Richards,1998-08-14,11,2018-09-27,64,1983,Idaho
Chad Newman,1981-04-16,12,2018-01-22,81,1980,Minnesota
Natalie Owens,1989-06-20,3,2018-12-01,53,1987,Indiana
Raymond Myers,1989-06-05,9,2018-05-11,49,1979,Nevada
Alicia Johnson,1996-10-07,17,2018-11-13,63,1974,Delaware
Linda Patterson,1992-05-27,20,2018-12-06,64,1972,Louisiana
Tiffany Martin,1998-10-14,6,2018-05-28,95,1979,Wyoming
Jason Brown,1979-09-25,7,2018-12-27,76,1976,Missouri
Alexander Kim,1983-05-09,20,2018-02-13,37,1995,Arkansas
Brandi Decker,1993-08-08,5,2018-10-09,95,1988,South Dakota
John Hanson,1992-08-26,2,2018-03-31,62,1973,New Mexico
Shawna Garcia,1982-04-27,20,2018-09-11,53,1986,California
Nathan Patrick,1990-10-11,4,2018-06-21,33,1982,New York
Edward Walls,1993-07-23,8,2018-09-07,41,1990,Wisconsin
Heidi Jennings,1997-08-06,8,2018-09-22,56,1980,Maryland
Charles Calderon,1972-06-13,5,2018-07-13,60,1971,Oregon
Alexis Davis,1985-04-28,16,2018-12-15,64,1975,Michigan
Angela Henry,1987-09-22,3,2018-10-08,51,1985,Kansas
Alisha Strickland,1987-06-23,13,2018-10-18,41,1976,New Mexico
Kevin Mcpherson,1993-05-06,20,2018-02-01,46,1990,Wyoming
Brian Nichols,1995-04-26,14,2018-12-24,81,1974,Illinois
Stephanie Acosta MD,1991-07-31,0,2018-02-15,85,1975,South Dakota
Erica Simpson,1993-03-25,10,2018-04-30,76,1982,North Carolina
Megan Walton,1972-09-17,18,2018-05-28,87,1971,Arkansas
Justin Waller,1989-09-02,8,2018-02-17,57,1980,Florida
Francisco Harris,1991-03-06,14,2018-06-29,96,1981,Idaho
Jennifer Nelson,1975-04-13,9,2018-09-02,89,1974,Ohio
Amanda Davis,1976-09-28,20,2018-04-27,70,1995,New Hampshire
Michael Shelton,1988-12-19,14,2018-03-05,56,1984,Montana
Karla Russell,1970-09-23,20,2018-08-23,37,2007,Arizona
Austin Martinez,1992-09-08,13,2018-04-26,38,1979,Pennsylvania
Joy Alexander,1996-10-28,19,2018-09-09,64,1973,Montana
Lisa Jimenez,1972-12-10,20,2018-05-25,65,1992,Arizona
Jesse Baker,1996-08-21,15,2018-02-25,81,1977,Massachusetts
Christopher Smith,1982-02-12,7,2018-05-30,35,1978,North Carolina
Aaron West,1989-08-27,0,2018-02-09,90,1985,New Hampshire
Anthony Cooper,1994-09-06,5,2018-08-11,90,1981,Utah
William Coleman,1996-08-08,16,2018-12-20,47,1995,Mississippi
James Castillo,1990-11-01,7,2018-04-27,76,1974,Hawaii
Thomas Lopez,1990-10-20,20,2018-08-09,58,1993,Wyoming
Gail Rodriguez,1975-05-20,10,2018-08-08,43,1974,Delaware
Jared Wilson Jr.,1971-01-16,3,2018-11-05,83,1970,Hawaii
Barbara Thomas,1991-09-15,9,2018-09-16,78,1980,Virginia
Kristen Riley,1966-02-19,20,2018-10-08,30,2010,Arizona
Ashley Thomas,1998-01-12,0,2018-12-20,32,1974,Wisconsin
David Jones,1991-05-15,11,2018-10-27,82,1985,Oklahoma
David Estrada,1993-08-19,3,2018-03-06,84,1985,Nevada
Amanda Campbell,1998-09-07,20,2018-01-21,30,1970,Florida
Jacob Vega DDS,1992-02-19,9,2018-11-25,89,1974,Arkansas
Michael Villa,1979-05-11,10,2018-12-02,46,1976,Iowa
Gina Hunt,1984-06-01,20,2018-10-13,87,2009,Arkansas
Raymond Adams,1998-02-15,20,2018-09-02,88,2013,Pennsylvania
Stephanie Wilson,1980-11-05,5,2018-05-26,35,1976,Alabama
Krista Nguyen,1977-03-24,20,2018-05-07,39,1982,Connecticut
Teresa Nguyen,1993-03-26,11,2018-01-26,91,1982,Tennessee
Corey Hill,1994-01-08,1,2018-11-28,97,1982,Montana
Isaac Howell,1995-07-13,20,2018-06-18,64,1973,Alabama
Shannon Garcia,1978-12-15,8,2018-08-05,60,1975,Kansas
Lindsay Sosa,1987-09-17,3,2018-07-05,72,1985,New York
Catherine Welch,1995-10-06,5,2019-01-05,31,1975,Montana
Stephanie Krause,1981-11-04,0,2018-12-09,55,1971,Illinois
William Hughes,1959-05-04,20,2018-11-22,66,1990,Arizona
Michael Jones,1979-07-11,4,2018-05-09,40,1977,California
Cassandra Weber,1991-04-23,1,2018-09-29,70,1984,Maryland
Courtney Douglas,1998-09-08,20,2018-12-23,70,1989,Mississippi
Terry Hanna,1996-02-06,5,2018-10-05,39,1975,Kansas
Mitchell Sanchez,1993-03-10,3,2018-03-01,98,1979,Maryland
Donald Harris,1997-06-22,6,2018-02-17,31,1991,Wisconsin
Jesus Smith,1993-10-16,13,2018-12-09,57,1984,New Mexico
Terry Freeman,1989-03-26,2,2018-04-06,61,1988,Idaho
Traci Silva,1979-05-22,6,2018-09-04,89,1978,Wisconsin
Anita Chavez,1990-07-31,20,2018-04-24,98,1978,Illinois
Robert Fowler,1984-06-11,18,2018-08-19,57,1976,Pennsylvania
Sabrina Adams,1992-08-17,0,2018-08-02,96,1986,Maine
Anthony Olsen,1978-02-19,20,2018-12-01,77,2002,Colorado
Donna Hunter,1983-04-25,11,2018-02-23,94,1982,California
Paul Gross,1990-11-01,13,2018-12-16,88,1971,Connecticut
Steven Wilson,1974-01-28,20,2018-06-23,46,1993,Florida
Lauren Doyle,1970-12-03,20,2018-01-11,62,1973,Alaska
Steven Owens,1981-02-13,20,2018-02-06,58,2002,Illinois
Paul Elliott,1960-02-03,20,2018-06-12,61,2018,Kentucky
Stephanie Mcguire,1997-11-30,0,2018-04-24,42,1979,Illinois
Dr. Bianca Prince PhD,1998-10-03,16,2018-08-19,37,1996,Texas
Kathy Grimes,1985-08-10,19,2018-12-17,70,1975,Texas
Ashley Monroe,1997-10-29,10,2018-04-04,34,1995,New Mexico
James Farrell,1994-08-27,13,2018-08-13,69,1992,Arizona
Shelley Huang,1995-11-16,10,2018-01-19,31,1986,Mississippi
Elizabeth Bush,1979-11-30,5,2018-05-07,71,1975,Missouri
Cameron Noble,1986-05-17,15,2018-05-14,36,1974,New Hampshire
Susan Kennedy,1993-11-20,8,2018-08-19,47,1977,Mississippi
Lisa Hunter,1995-06-10,15,2018-12-09,64,1978,North Carolina
Curtis Perez,1979-05-28,20,2018-01-26,71,2005,Ohio
William Mullins,1996-06-12,15,2018-07-14,86,1992,Rhode Island
Lindsay Miller,1978-07-06,10,2018-09-07,95,1971,Tennessee
Yvonne Rodriguez,1998-07-09,2,2018-09-13,71,1981,Nebraska
Morgan Carter,1989-02-01,8,2018-08-15,81,1974,Utah
Kelly Nichols,1959-02-08,20,2019-01-06,91,1984,Texas
Karen Singh,1977-11-18,17,2018-04-08,32,1974,Minnesota
Andrew Smith,1984-11-08,5,2018-02-03,61,1979,Connecticut
Joseph Miller,1985-11-01,8,2018-06-20,35,1984,North Carolina
Jennifer Solomon,1996-05-30,2,2018-09-07,84,1984,North Carolina
